id,G,466
1,12.1191611111,11.0118571429
2,12.1851307692,11.05525
3,12.1486833333,11.15234
4,12.3649333333,10.87725
5,12.16906,11.02228
6,12.21261,11.02057
7,12.1324,11.1044727273
8,12.0016,10.85895
9,12.0646,10.8922875
10,12.2442785714,10.9058935484
11,12.2822583333,11.2798333333
12,12.2228,10.9314125
13,12.28589375,11.0136357143
14,12.2501125,10.8544730769
15,12.4977666667,11.16323
16,12.3180625,10.9569125
17,12.5875444444,10.9880333333
18,12.6245538462,11.0937909091
19,12.5776727273,11.05915
20,12.82403,11.0842666667
21,12.6736375,11.1739
22,12.7181,10.94045
23,13.0306,10.9123076923
24,12.6977625,10.9912666667
25,12.2408666667,11
26,12.24726,11.2462875
27,12.3666333333,11.0805777778
28,12.031925,10.9191388889
29,12.262475,10.9242
30,12.4803666667,10.9289875
31,12.3051533333,10.952
32,12.1606083333,10.87646
33,12.1642333333,10.9650909091
34,12.17401,10.89945
35,12.15522,11.17966
36,12.17095,11.0384818182
37,12.149692,11.05447
38,12.09074,11.1005666667
39,12.29075,11.1298875
40,12.16115,10.8885
41,12.1847727273,10.9206428571
42,12.17155,11.0125666667
43,12.0904181818,11.0992625
44,12.0089142857,10.9869875
45,12.263825,11.109825
46,12.15773,10.9390766667
47,12.1735666667,11.060575
48,12.1464769231,11.022775
49,12.1666037037,11.091
50,12.1834833333,10.8463888889
51,12.2337363636,11.0206583333
52,12.2252,11.04363
53,12.1135,11.0367083333
54,12.20954,10.963875
55,12.3172,11.14779
56,12.2352533333,11.06956875
57,12.1242125,10.9239571429
58,12.0978636364,10.80943
59,12.1153277778,11.0799166667
60,12.2953,11.139325
61,12.2148,11.2176
62,12.3501333333,11.2176357143
63,12.2608,11.2222363636
64,12.2967666667,10.936335
65,12.1708333333,11.12148
66,12.15025,10.9921166667
67,12.6576857143,11.496125
68,12.234075,11.036975
69,12.6414363636,10.9888869565
70,12.1706,11.00653
71,12.3100555556,11.0163857143
72,12.2,11.1730833333
73,12.1250875,10.9692315789
74,12.6788368421,10.8773
75,12.6391705882,10.9195222222
76,12.44442,10.9540428571
77,12.0764166667,10.9837916667
78,12.3496,11.0789333333
79,12.035125,11.04015
80,12.2069375,11.1573625
81,12.25505,10.895968
82,12.1479823529,10.99065
83,12.222575,10.977275
84,12.07283125,11.1332875
85,12.1971111111,10.99542
86,12.05295,11.2297833333
87,12.1528333333,11.11615
88,12.0610125,11.0401357143
89,12.0382444444,11.0906714286
90,12.1599882353,10.8794
91,12.0789875,10.9566
92,12.1559,11.07414
93,12.1906380952,10.94925
94,12.1421545455,10.9848375
95,12.1644666667,11.1546
96,12.1209222222,10.9788846154
97,12.03266,11
98,12.4019666667,11.0999125
99,12.22365,10.9547375
100,12.1867423077,11.01705625
